"PDB","UniProt","Len.","Res.","ECOD ID","SCOPe ID","CATH ID","α%","β%","Coil%","Avg. RMSF","Avg. gyr.","Div. SE","Div. MM","NR domain"
"3dgpB","Q02939","71","1.8","[4340.1.1.1]","d.295.1.0","3.30.70.1220","51","20","30","3.54","15.84","0.637","0.593","Yes"
"3dhaA","P0CJ63","254","0.95","[247.1.1.8]","-","3.60.15.10","25","30","46","1.03","17.73","0.882","0.828","Yes"
"3djlA","P33224","541","1.7","[4052.1.1.1] [4033.1.1.11] 633.6.1.2","-","2.40.110.20 6.10.250.600","55","13","32","1.23","24.40","0.927","0.923","Yes"
"3dnhB","A9CI98","258","1.94","1.1.5.84 [3270.1.1.1]","-","2.30.110.10 3.20.180.10","30","28","43","1.81","19.46","0.810","0.838","Yes"
"3do6A","Q9X287","543","1.85","2004.1.1.977","c.37.1.0","3.10.410.10 3.30.1510.10 3.40.50.300","39","19","42","0.92","23.65","0.947","0.938","No"
"3dpgB","Q9F6L0","338","1.91","2008.1.1.5","-","3.40.91.10","47","10","42","0.95","21.59","0.929","0.932","No"
"3dsoA","Q58AD3","74","1.55","[3119.1.1.1]","-","2.40.10.300","16","41","43","1.97","13.08","0.730","0.577","Yes"
"3dzaA","A6TE93","191","1.65","3606.1.1.1","-","1.20.120.1940 6.10.250.2140","61","15","25","3.01","21.47","0.717","0.624","No"
"3e0zA","-","109","1.75","[3516.1.1.1]","-","1.20.58.1400","60","0","40","1.06","13.17","0.794","0.727","Yes"
"3e2dA","Q93P54","502","1.4","7515.1.1.1","-","1.10.1200.140 3.40.720.10 4.10.80.410 6.20.370.140","40","14","46","1.53","23.99","0.867","0.899","No"
"3e4wB","Q73WB6","320","1.8","4028.1.1.4","-","1.20.1280.120 2.40.180.10","27","24","49","1.44","19.59","0.866","0.873","No"
"3e7hA","Q9KV30","103","1.7","275.1.1.7","-","-","27","37","36","3.30","18.66","0.661","0.666","No"
"3e8tA","B5ABT1","220","1.3","883.1.1.3","-","3.15.10.30","30","45","25","1.23","20.42","0.850","0.848","No"
"3e9vA","P78543","120","1.7","[4072.1.1.1]","d.370.1.1","3.90.640.90","45","16","39","0.79","14.32","0.920","0.869","Yes"
"3ebhA","O96935","889","1.65","11.1.1.332 [4081.1.1.5] 109.4.1.198 2498.1.1.50","-","1.10.390.10 1.25.50.10 2.60.40.1730 2.60.40.1840 3.30.2010.30","44","21","34","0.87","29.22","0.965","0.963","Yes"
"3eh1A","O95487","751","1.8","11.1.5.36 [610.2.1.2] 224.1.1.2 2006.1.6.5 375.1.1.44","-","1.20.120.730 2.30.30.380 2.60.40.1670 3.40.20.10 3.40.50.410","32","22","46","0.93","27.80","0.956","0.920","Yes"
"3ehgA","O34757","128","1.74","[225.1.1.3]","-","3.30.565.10","36","26","38","1.19","14.54","0.876","0.811","Yes"
"3emiA","Q48152","116","1.8","[3512.1.1.2] [716.1.1.5]","-","3.90.1780.10","17","31","52","7.74","21.43","0.269","0.319","Yes"
"3enuA","Q2YAE2","114","1.86","72.1.1.3","-","2.60.20.10","17","37","46","1.21","13.68","0.874","0.792","No"
"3eojA","P11741","366","1.3","[522.1.1.1]","b.75.1.1","2.50.10.10","21","44","35","1.50","22.41","0.811","0.737","Yes"
"3eqxA","Q8E9K5","373","1.6","101.1.2.482 4040.1.1.11","-","-","61","4","35","0.95","22.84","0.919","0.940","No"
"3etoA","P46531","242","2.0","304.127.1.6 [917.1.1.2] 917.1.1.2 917.1.1.2","-","3.30.70.3310 3.30.300.320","30","15","55","1.78","19.44","0.778","0.740","Yes"
"3eyeA","Q8XAB8","168","1.45","[7537.1.1.1]","c.38.1.0","3.40.35.10","33","26","42","1.47","16.72","0.874","0.872","Yes"
"3ezuA","Q74FR4","342","1.95","[3763.1.1.1] 304.48.1.7","-","1.20.1260.10 3.30.70.270","63","10","26","1.66","24.35","0.764","0.780","Yes"
"3f0oB","P77072","212","1.76","101.1.2.60 4187.1.1.1 4187.1.1.2","a.4.5.79 d.357.1.2","3.30.450.410","39","21","40","1.01","17.17","0.891","0.860","No"
"3f0pA","P77072","212","1.64","101.1.2.60 4187.1.1.1 4187.1.1.2","a.4.5.79 d.357.1.2","3.30.450.410","38","21","41","0.98","17.13","0.912","0.825","No"
"3f4mA","Q6P589","161","1.7","3832.1.1.1","-","1.20.1440.160","82","0","18","0.76","15.68","0.916","0.904","No"
"3f7wA","Q47ME9","288","1.85","[206.1.1.4]","-","1.10.510.10 1.20.1270.240 3.30.200.20","45","19","36","0.76","19.59","0.957","0.896","Yes"
"3fblA","Q70LC7","82","1.95","[3273.1.1.3]","-","1.20.58.800","80","0","20","0.55","12.54","0.940","0.884","Yes"
"3fcnA","Q2RPE2","164","1.45","[3496.1.1.1]","-","1.20.1220.20","66","0","34","1.87","20.85","0.818","0.861","Yes"
"3fh2A","Q8NMA0","146","1.6","148.1.2.1","-","1.10.1780.10","70","3","27","0.81","14.71","0.921","0.909","No"
"3fhfA","Q58134","214","2.0","102.1.2.13","-","1.10.340.30 1.10.1670.10","69","0","31","1.19","18.73","0.862","0.744","No"
"3fkcA","Q86T24","116","1.7","[226.1.1.1]","d.42.1.0","3.30.710.10","49","11","40","3.31","15.02","0.689","0.696","Yes"
"3fkeA","Q05127","129","1.4","3288.1.1.1","d.388.1.1","1.10.8.950 2.10.10.70","48","10","42","1.20","15.40","0.909","0.876","No"
"3fm2A","Q3M4Y5","135","1.8","4216.1.1.8","-","3.40.1570.10","17","45","38","1.03","14.86","0.861","0.787","No"
"3fn2B","-","106","1.9","3488.1.1.","-","3.30.2200.10","42","19","40","3.09","17.14","0.475","0.423","No"
"3fo8D","P13332","283","1.8","10.19.1.1 [4401.1.1.1]","-","2.40.10.380 6.10.250.2160","19","34","48","1.61","20.21","0.919","0.893","Yes"
"3fp5A","D1MPT1","106","1.61","[197.1.1.1]","a.11.1.0","1.20.80.10","65","0","35","0.90","14.81","0.901","0.766","Yes"
"3fpnA","D0VX13","119","1.8","[3325.1.1.2]","-","3.30.190.20","28","32","40","0.93","15.23","0.857","0.807","Yes"
"3fpuA","P0C8E7","100","1.76","[3113.1.1.1]","-","2.30.130.100","8","40","52","3.58","15.72","0.746","0.739","Yes"
"3frrA","P53990","191","1.8","3291.1.1.1","-","1.20.1260.60","73","0","27","1.46","20.93","0.818","0.781","No"
"3fybA","Q0VSW0","104","1.8","[4245.1.1.1]","a.293.1.0","1.10.3340.10","75","0","25","2.42","15.78","0.583","0.575","Yes"
"3g06A","P0CE12","622","1.9","207.1.1.51 [3330.1.1.4]","-","3.80.10.10","43","8","49","4.14","33.06","0.638","0.579","Yes"
"3g0mA","Q8ZPQ1","141","1.76","[244.3.1.4]","d.224.1.1","3.90.1010.10","51","11","38","0.84","14.70","0.908","0.905","Yes"
"3g28A","P03322","77","1.64","[170.1.1.8]","a.28.3.1","1.10.1200.30","61","0","39","0.91","12.01","0.877","0.834","Yes"
"3g3sB","-","249","1.8","213.1.1.22","-","3.40.630.30 3.40.630.110","39","31","31","0.86","19.20","0.913","0.758","No"
"3g5kD","Q9HBH1","183","1.7","289.1.1.1","d.167.1.0","3.90.45.10","34","35","31","1.44","16.70","0.890","0.879","No"
"3g5tA","P32643","299","1.12","[2003.1.5.86]","-","3.40.50.150","39","21","39","1.12","20.45","0.863","0.857","Yes"
"3g98B","O67323","111","1.85","5104.1.1.1","-","3.10.310.40","33","37","30","0.54","12.99","0.937","0.925","No"
"3ga3A","Q9BYX4","133","1.45","[708.1.2.4]","b.88.2.1","2.170.150.30","20","43","38","1.50","15.36","0.782","0.806","Yes"
"3ghdA","Q8TZN4","70","1.81","282.1.1.1","-","3.90.1280.20","36","29","36","0.90","11.81","0.880","0.821","No"
"3gkjA","O15118","232","1.6","[543.1.1.4]","-","-","32","22","45","1.28","18.53","0.857","0.842","Yes"
"3gmvX","Q9KJ90","156","1.8","[809.1.1.1] 809.1.1.1","d.98.1.0","3.10.450.730","21","36","44","0.83","16.41","0.925","0.853","Yes"
"3gnuP","Q9SPD4","213","1.9","[3080.1.1.1]","-","-","14","32","54","0.69","16.44","0.950","0.921","Yes"
"3gqhA","P20345","163","1.8","70.4.1.2","-","2.40.300.10 4.10.80.40","2","44","55","3.41","21.28","0.722","0.710","No"
"3gqvA","Q9Y7D0","371","1.74","[236.1.1.22] 2003.1.1.8","-","3.40.50.720 3.90.180.10","28","23","50","1.31","21.60","0.903","0.915","Yes"
"3gs9A","Q8Y4Z4","342","1.7","1.1.13.29 1.1.13.38 3070.1.1.16 [3071.1.1.9]","-","3.55.50.40 6.20.110.10","13","40","47","1.24","23.29","0.874","0.842","Yes"
"3gwiA","P0ABB8","170","1.6","[267.1.1.3]","-","3.40.1110.10","34","35","31","1.07","16.38","0.882","0.845","Yes"
"3h0nA","Q28PN4","188","1.45","[4107.1.1.2]","d.380.1.1","1.10.3300.10","53","11","37","2.08","18.70","0.709","0.712","Yes"
"3h1dA","Q7Z6Z7","405","1.89","[261.1.1.1]","d.148.1.0","3.30.2160.10 3.30.2410.10 3.90.1750.10","46","14","40","1.70","23.75","0.865","0.877","Yes"
"3h1wA","P25081","393","1.94","10.12.1.73 10.12.1.75 [3691.1.1.1]","-","1.10.441.10 2.60.120.10 2.60.120.10","27","34","39","0.99","22.83","0.891","0.923","Yes"
"3h2dB","Q8EAI7","155","1.86","866.1.1.2","-","3.40.1550.10","35","33","32","1.19","15.18","0.858","0.765","No"
"3h5qA","Q5HE64","436","1.94","[184.1.1.1] 325.1.3.1 [7544.1.1.1]","a.46.2.0 c.27.1.0 d.41.3.0","1.20.970.10 3.40.1030.10 3.90.1170.30","48","16","36","0.90","22.96","0.964","0.959","Yes"
"3h8tA","A2I2W2","191","1.8","3077.1.1.1","-","-","4","46","50","1.88","17.42","0.872","0.843","No"
"3h93A","P0C2B2","192","1.5","[3009.1.1.8] 2485.1.1.56","c.47.1.0","3.40.30.10","52","14","34","1.05","17.87","0.890","0.881","Yes"
"3hdjB","Q7VSP8","313","1.7","3692.1.1.1 2003.1.1.94","-","3.30.1780.10 3.40.50.720","38","26","36","1.15","19.62","0.873","0.894","No"
"3hfwA","P54922","357","1.92","[528.1.1.1]","-","1.10.4080.10","63","1","36","0.84","19.45","0.932","0.926","Yes"
"3hglA","Q8RSY1","85","1.9","[3193.1.1.1]","-","1.20.1280.110","68","0","32","1.19","12.44","0.827","0.807","Yes"
"3hlzB","Q8A7P4","269","1.5","[3859.1.1.1] 881.1.1.3","-","1.20.120.1090 3.40.1000.10","33","33","34","1.56","23.25","0.725","0.851","Yes"
"3hmsA","P14210","101","1.7","[390.1.1.2]","g.10.1.1","3.50.4.10","16","39","46","2.64","14.39","0.756","0.821","Yes"
"3ho6A","P16154","267","1.6","7575.1.1.5","-","3.40.50.11050","32","24","45","1.63","18.85","0.822","0.838","No"
"3holA","Q44124","509","1.98","[3335.1.1.2] 3335.1.1.3 5084.1.1.16 5084.1.1.16","b.181.1.1 b.181.1.1 f.4.1.3 f.4.1.3","2.40.128.240 2.40.128.250 2.40.160.90 2.40.160.90","3","49","49","1.17","27.53","0.926","0.802","Yes"
"3hvvA","P0A862","167","1.75","2485.1.1.34","c.47.1.10","3.40.30.10","24","31","45","0.77","15.04","0.929","0.899","No"
"3hxwA","P00957","441","1.93","[613.1.1.1] [314.1.1.14]","-","3.30.930.10","47","19","34","1.17","23.57","0.916","0.799","Yes"
"3i94A","Q55891","248","1.04","867.1.1.2","d.248.2.1","3.40.1500.20","38","24","38","0.93","17.75","0.905","0.920","No"
"3ib5A","Q1WSH7","348","1.35","[3535.1.1.1] 3535.1.1.2","-","3.10.570.10","24","34","42","2.61","22.48","0.706","0.632","Yes"
"3ic3B","Q6N5V5","101","1.8","[3348.1.1.3]","-","3.30.2370.10","39","12","50","5.03","16.54","0.450","0.455","Yes"
"3ig9C","Q7Y5B1","78","1.9","[3101.1.1.1]","-","3.90.930.20","21","36","44","1.20","13.10","0.795","0.631","Yes"
"3igzB","Q86N96","561","1.9","7515.1.1.4 [7554.1.1.1]","-","3.40.720.10 3.40.1450.10","31","18","51","1.32","25.59","0.876","0.857","Yes"
"3ii2A","Q70LE6","157","2.0","[3123.1.1.1]","-","2.60.40.2930","22","40","38","0.95","16.14","0.904","0.877","Yes"
"3iiuM","P80484","151","1.45","[569.1.1.1]","-","1.40.10.10","75","1","24","1.63","16.08","0.748","0.617","Yes"
"3ijwA","A0A3P1UCA6","268","1.9","7547.1.1.1","c.140.1.0","-","37","22","41","1.23","19.80","0.896","0.868","No"
"3ikwA","Q89YQ6","374","1.3","10.1.1.29 [3299.1.1.1]","-","2.60.120.200 3.10.540.20","8","46","47","1.50","22.62","0.895","0.823","Yes"
"3ilwA","P9WG47","470","1.6","101.1.2.222 [4016.1.1.3] [4014.1.1.3]","e.11.1.0","-","50","17","32","1.26","29.70","0.898","0.839","Yes"
"3im1A","P32639","328","1.65","11.1.1.342 102.5.1.5 4156.1.1.7","-","1.10.150.20 1.10.3380.10 2.60.40.150","38","19","44","1.33","22.04","0.920","0.886","No"
"3im3A","P00514","50","2.0","[541.1.1.2]","a.31.1.1","1.20.890.10","84","0","16","2.39","11.95","0.421","0.405","Yes"
"3imkA","Q2LU76","158","1.45","[7563.1.1.3]","c.129.1.5","3.40.50.450","39","17","44","0.92","14.93","0.867","0.895","Yes"
"3inoA","P13423","143","1.95","5099.1.1.1","-","2.60.40.810","13","34","53","1.27","15.99","0.816","0.728","No"
"3ip4A","P63488","485","1.9","7552.1.1.1","c.117.1.1","3.90.1300.10","41","14","45","0.68","22.14","0.966","0.957","No"
"3ipfA","Q251Q8","71","1.99","[3112.1.1.1]","-","2.60.40.2000","4","65","31","1.39","12.67","0.831","0.810","Yes"
"3ipjA","Q188R0","95","1.2","306.1.1.1","-","3.30.1360.60","29","24","46","1.67","13.08","0.842","0.873","No"
"3it4B","P9WPZ3","205","1.7","[3117.1.1.1]","-","3.10.20.340 3.30.2330.10","37","23","40","1.78","19.15","0.704","0.646","Yes"
"3it4C","P9WPZ3","199","1.7","231.1.2.3","-","3.60.70.12","30","24","46","1.69","16.21","0.759","0.843","No"
"3jsyB","P54049","213","1.6","304.60.1.11 [3310.1.1.1]","-","3.30.70.1730 3.90.105.20","41","23","35","2.18","22.70","0.723","0.626","Yes"
"3jszA","Q5WWY0","525","1.7","[3296.1.1.1] 7516.1.1.20","-","1.10.1740.130 1.20.120.990","47","12","41","1.49","29.52","0.923","0.805","Yes"
"3jtzA","Q9Z3B4","88","1.3","[252.2.1.3]","-","3.30.160.390","33","31","36","1.53","15.90","0.778","0.669","Yes"
"3ju3A","Q9HK35","118","1.9","[7522.1.1.1]","-","3.40.50.920","40","15","45","2.68","16.03","0.580","0.618","Yes"
"3ju4A","Q04830","670","0.98","1.1.7.14 207.2.1.7 5.1.3.8 [79.1.1.65]","b.68.1.2 b.108.1.0","2.40.30.20 2.120.10.10 3.30.750.60 4.10.1090.10","3","37","60","6.43","32.81","0.689","0.671","Yes"
"3jubA","Q9BVM4","153","1.2","[810.1.1.1]","d.269.1.1","3.10.490.10","12","34","54","1.48","15.74","0.863","0.810","Yes"
"3jv1A","Q584R4","182","2.0","897.1.1.1","d.25.1.0","3.10.280.10","42","25","33","1.84","20.53","0.799","0.645","No"
"3jz9A","Q5ZSQ3","197","1.8","[3838.1.1.1]","-","1.20.1260.70","66","2","31","0.94","18.82","0.893","0.891","Yes"
"3k5jA","Q5F6Z8","183","1.4","[642.1.1.2]","-","-","34","22","43","1.02","16.50","0.896","0.899","Yes"
"3ka5A","Q97F93","65","1.8","[3097.1.1.1]","-","-","17","28","55","3.73","14.04","0.652","0.599","Yes"
"3kbbA","Q9X0Y1","216","1.74","[2006.1.1.6]","c.108.1.0","1.10.150.240 3.40.50.1000","50","12","38","1.14","18.48","0.848","0.758","Yes"
"3kbyA","Q7WTC8","145","1.8","[3302.1.1.1]","-","-","63","3","34","1.52","16.84","0.867","0.819","Yes"
"3kd4A","A6LB40","506","2.0","4081.1.1.1 [3251.1.1.1] 219.1.1.271","-","2.60.40.3140 2.60.120.1130 3.10.620.30","22","39","40","1.83","28.46","0.841","0.705","Yes"
"3kdeC","Q7M3K2","77","1.74","377.11.1.1","-","6.20.210.20","22","16","62","2.96","13.86","0.623","0.648","No"
"3kefB","P62623","326","1.7","7588.1.1.2 7588.1.1.3 7588.1.1.4","-","3.40.50.11270 3.40.1010.20 3.40.1010.20","39","17","44","1.87","23.15","0.798","0.787","No"
"3klrA","P20821","125","0.88","[325.1.7.7]","b.84.1.0","2.40.50.100","24","37","39","0.88","14.12","0.888","0.892","Yes"
"3kvdD","Q6QCC2","242","2.0","5084.1.1.3 [1053.1.1.2]","-","2.40.160.90 2.60.40.1980","5","62","33","0.93","18.99","0.940","0.894","Yes"
"3kz5E","P62558","52","1.58","[3433.1.1.]","-","6.10.140.1550","23","29","48","4.73","12.80","0.219","0.219","Yes"
"3kz7A","Q62446","119","1.95","[284.1.1.2]","d.26.1.1","3.10.50.40","10","34","55","1.07","14.66","0.854","0.776","Yes"
"3l1eA","P02470","106","1.15","319.1.1.2","-","2.60.40.790","3","52","45","4.52","18.82","0.607","0.516","No"
"3l2aA","Q8JPY0","129","1.71","[3288.1.1.1]","d.388.1.1","1.10.8.950 2.10.10.70","50","10","40","1.27","15.24","0.893","0.840","Yes"
"3l32A","Q0GBY3","45","1.5","[3839.1.1.]","-","6.10.140.1560","80","0","20","1.04","11.81","0.702","0.472","Yes"
"3l4hA","Q76N89","109","1.8","64.1.1.1 [3130.1.1.1]","-","-","43","12","45","1.07","13.96","0.841","0.860","Yes"
"3l4pA","Q46509","907","1.45","179.1.1.1 221.1.1.12 231.1.1.1 231.1.1.1 325.1.1.1","a.56.1.1 d.15.4.2 d.41.1.1 d.133.1.1","1.10.150.120 3.10.20.30 3.30.365.10 3.30.365.10 3.30.365.10 3.30.365.10 3.90.1170.50","32","22","46","0.84","27.94","0.959","0.931","No"
"3l51B","Q8CG48","166","1.51","[874.1.1.1]","d.215.1.0","-","45","14","42","1.67","18.28","0.811","0.770","Yes"
"3l84A","Q0P7Y3","632","1.36","7522.1.1.3 [7574.1.1.5] 7574.1.1.6","-","3.40.50.920 3.40.50.970 3.40.50.970","46","14","41","1.15","28.81","0.862","0.897","Yes"
"3l9aX","A2V8B8","88","1.3","[3120.1.1.1]","-","3.30.720.180","20","27","52","3.37","14.70","0.580","0.610","Yes"
"3laeA","Q57017","81","1.45","217.2.1.1","d.145.1.4","3.30.465.10","20","37","43","0.91","12.05","0.806","0.819","No"
"3lasB","Q8DVY1","166","1.4","4126.1.1.2","c.53.2.0","3.40.1050.10","39","17","44","2.61","17.62","0.653","0.670","No"
"3lblA","Q00987","95","1.6","178.1.1.1","a.42.1.1","1.10.245.10","45","18","37","0.96","13.35","0.858","0.838","No"
"3lduA","Q186Y7","385","1.7","304.120.1.5 [4143.1.1.13] 2003.1.5.391","-","3.30.2130.30 3.40.50.150","33","21","45","1.10","24.30","0.920","0.931","Yes"
"3letB","Q87P32","314","1.8","[3229.1.1.1] 4040.1.1.11","-","1.10.3290.10","68","1","31","1.87","25.45","0.857","0.878","Yes"
"3lgbB","P20457","194","1.54","182.1.2.2","-","-","60","0","40","0.93","17.63","0.925","0.920","No"
"3lk7A","Q8E186","451","1.5","2003.1.8.19 2004.1.1.1465 [7570.1.1.1]","-","3.40.50.720 3.40.1190.10 3.90.190.20","35","22","43","1.95","23.88","0.748","0.702","Yes"
"3lktQ","P00436","238","1.65","11.1.4.219","b.3.6.1","2.60.130.10","8","29","63","2.22","19.27","0.726","0.681","No"
"3ll7A","Q7MVG6","410","1.8","[3267.1.1.1] 304.120.1.12 4143.1.1.7 2003.1.5.23","-","1.10.10.1110 3.40.50.150","34","26","40","1.63","26.14","0.871","0.757","Yes"
"3lpcA","-","340","1.7","[2499.1.1.6]","-","3.40.50.200","28","18","54","0.64","19.04","0.965","0.958","Yes"
"3lpeB","Q57818","59","1.9","375.1.1.34","g.41.9.0","2.20.28.90","10","34","56","0.83","11.62","0.760","0.874","No"
"3lq9A","Q9NX09","134","2.0","[3118.1.1.1]","-","3.90.470.40","27","29","44","1.92","16.19","0.828","0.778","Yes"
"3ltiA","P0A8V2","296","1.6","275.1.1.7 [4041.1.1.2]","-","3.90.1110.10","33","21","46","1.22","22.84","0.898","0.828","Yes"
"3lurB","A0A0H3K0Y5","158","1.81","886.1.1.1","-","3.20.80.10","25","37","39","0.89","15.37","0.878","0.869","No"
"3luuA","B7J6R7","101","1.93","[719.2.1.2]","d.392.1.1","3.30.2020.30","20","34","47","1.43","13.81","0.820","0.754","Yes"
"3lvuD","Q5LRQ9","258","1.79","7523.1.1.28","-","3.10.105.10","41","13","45","0.81","18.28","0.954","0.909","No"
"3lwxA","A6LB22","199","1.1","[3518.1.1.1]","-","-","33","28","39","0.95","16.83","0.922","0.919","Yes"
"3lx5A","Q5M586","272","1.9","[3290.1.1.5] 2004.1.1.258","-","1.10.287.1770 3.40.50.300","48","14","38","1.75","20.34","0.820","0.805","Yes"
"3lyfD","D3K5I7","245","1.93","3143.1.2.1","a.299.1.1","-","62","1","37","0.83","17.89","0.947","0.852","No"
"3lyyA","Q03HU7","107","1.9","[3114.1.1.2]","-","2.60.40.4300","0","43","57","1.28","19.89","0.848","0.844","Yes"
"3m4rA","Q9HKW2","222","2.0","[281.1.1.2]","-","3.40.225.10","40","20","40","1.03","17.93","0.881","0.901","Yes"
"3m5qA","Q02567","357","0.93","[136.1.1.7]","a.93.1.1","1.10.420.10 1.10.520.10","38","6","56","1.44","20.44","0.858","0.853","Yes"
"3m66A","Q96E29","270","1.6","[3238.1.1.1]","-","1.25.70.10","73","0","27","1.56","24.71","0.807","0.643","Yes"
"3m6zA","Q977W1","380","1.4","101.1.1.25 102.1.1.206 4348.1.1.1","-","1.10.150.740 6.10.250.950","59","3","37","1.17","21.34","0.866","0.817","No"
"3m7aA","Q2GA55","140","1.22","[3127.1.1.1]","-","2.60.120.1140","11","43","46","2.45","14.97","0.811","0.843","Yes"
"3m7dA","Q977W1","380","1.82","101.1.1.25 102.1.1.206 [4348.1.1.1]","-","1.10.150.740 6.10.250.950","64","3","33","1.01","21.31","0.896","0.793","Yes"
"3mcbB","Q13765","58","1.9","[3124.1.1.1]","-","2.20.70.30","7","48","45","4.26","13.26","0.410","0.363","Yes"
"3mfdA","P35150","334","1.75","51.1.1.2 4019.1.1.20 223.3.1.18","-","2.30.140.30 3.40.710.10","33","28","39","1.71","24.74","0.872","0.832","No"
"3mhsB","P50102","96","1.89","[4336.2.1.1]","a.301.1.1","1.10.246.140","79","0","21","2.65","17.37","0.575","0.523","Yes"
"3milA","P41734","240","1.6","2007.5.1.31","-","3.40.50.1110","45","12","44","1.57","19.68","0.877","0.866","No"
"3mm6A","Q59109","418","1.9","205.1.1.43 304.37.1.1 296.1.1.2","d.58.1.5 d.58.36.2 d.134.1.1","3.30.70.20 3.30.70.2500 3.30.413.10 6.10.140.1420","38","14","48","3.52","26.39","0.535","0.548","No"
"3mmhB","-","167","1.25","223.1.1.180","d.110.2.0","3.30.450.40","38","25","37","0.94","15.59","0.888","0.870","No"
"3mmyD","P78406","56","1.65","[3136.1.1.1]","-","1.10.10.2360","30","14","55","4.43","15.88","0.324","0.304","Yes"
"3molB","G3XD33","184","1.2","824.1.1.1","-","3.30.1500.10","31","36","33","0.83","16.14","0.890","0.901","No"
"3mqzA","-","215","1.3","[241.12.1.1]","-","3.30.930.20","43","18","40","1.31","17.88","0.870","0.864","Yes"
"3msuB","Q5NIJ6","427","1.84","172.1.1.1","a.103.1.0","1.10.230.10 1.10.580.10 2.20.28.60","55","7","39","2.00","23.21","0.819","0.810","No"
"3mswA","Q5LAR6","145","1.9","[3347.1.1.1]","-","2.40.128.720","6","65","30","1.93","19.74","0.789","0.697","Yes"
"3mwzA","B7PKZ1","115","1.52","[243.3.1.2]","d.17.1.0","3.10.450.10","13","43","43","1.75","14.87","0.796","0.777","Yes"
"3mx7A","Q9NVQ4","90","1.76","[3459.1.1.1]","-","2.40.128.180","0","66","34","0.80","12.96","0.857","0.805","Yes"
"3mxzA","O04350","116","1.6","[604.7.1.1]","-","1.20.58.90","86","0","14","1.22","19.91","0.755","0.903","Yes"
"3n4iB","P0AD64","165","1.56","809.1.1.1 809.1.1.1","d.98.1.1","3.30.1450.10 3.30.1450.10","21","39","40","1.17","16.52","0.805","0.698","No"
"3n4jA","Q74Y93","165","1.47","[2488.1.1.7]","c.116.1.1","3.40.1280.10","33","15","52","1.17","15.68","0.895","0.843","Yes"
"3nciA","Q38087","903","1.79","[4969.1.1.2] 4970.1.1.20 304.48.1.148 2484.1.1.112","c.55.3.5 e.8.1.1","1.10.287.690 1.20.1280.300 3.30.342.10 3.30.420.10 3.40.1820.10 3.90.1600.10","43","18","38","2.12","32.76","0.770","0.764","Yes"
"3nclA","Q9Y5Y6","241","1.19","[1.1.17.4]","b.47.1.2","2.40.10.10 2.40.10.10","10","35","55","0.73","16.98","0.969","0.920","Yes"
"3ni2A","Q941M3","536","1.9","4011.1.1.16 327.5.1.12 7584.1.1.2 7584.1.1.3","e.23.1.0","3.30.300.30 3.40.50.12780","31","23","45","1.40","24.30","0.890","0.858","No"
"3nisB","P19812","82","1.68","904.2.1.1","-","2.10.110.30","0","18","82","2.99","12.79","0.544","0.625","No"
"3nkeB","Q46896","200","1.4","[3239.1.1.1]","e.79.1.1","1.20.120.920","64","1","35","1.71","19.12","0.879","0.864","Yes"
"3nl9A","B1YMF4","171","1.78","159.1.3.2","-","1.10.3420.10","64","1","35","2.28","17.66","0.491","0.436","No"
"3nqiA","A0A380YR22","246","1.87","2.18.1.1 [3233.1.1.1]","-","2.40.50.500 2.60.40.3220","11","44","45","1.31","19.85","0.841","0.895","Yes"
"3nr1A","Q8N4P3","178","1.9","131.1.1.7","-","1.10.3210.10","68","1","31","0.89","16.32","0.931","0.875","No"
"3nrlB","A7B1J1","81","1.9","[3158.1.1.1]","-","2.40.10.390","0","52","48","1.70","13.34","0.802","0.773","Yes"
"3nrwA","Q5V4F9","117","1.7","186.1.1.2","-","1.10.150.130","62","0","38","1.71","15.41","0.849","0.844","No"
"3nufA","Q034D9","119","1.38","162.1.1.8","-","1.10.1790.10","64","0","36","1.09","13.97","0.857","0.810","No"
"3nyyA","A7B4J8","252","1.6","[6090.1.1.1] 325.1.6.1","-","-","25","24","52","0.82","19.13","0.937","0.889","Yes"
"3o04A","Q8Y574","413","1.85","[7581.1.1.5] 7581.1.1.12","c.95.1.0 c.95.1.0","3.40.47.10 3.40.47.10","38","21","41","0.81","20.97","0.949","0.924","Yes"
"3o0gD","Q00535","149","1.95","101.1.10.1","a.74.1.1","1.10.472.10","68","0","32","0.84","15.01","0.909","0.887","No"
"3o3xA","-","198","1.45","[3567.1.1.12]","-","-","84","0","16","0.94","19.03","0.875","0.891","Yes"
"3o6pA","Q837D6","229","1.65","[7523.1.1.28]","-","3.10.105.10","45","17","38","0.91","17.59","0.923","0.874","Yes"
"3o79A","Q9TSF8","105","1.6","254.1.1.1","d.6.1.1","1.10.790.10","63","4","33","0.94","14.86","0.880","0.853","No"
"3oblB","C0STD7","132","1.2","3188.1.1.1","-","2.40.128.450","0","57","43","0.69","14.20","0.938","0.891","No"
"3ofgB","Q8IG33","95","1.37","[3122.1.1.1]","-","3.30.70.260","29","29","41","2.07","13.94","0.837","0.779","Yes"
"3ohgA","A7LRK2","285","1.8","[3256.1.1.1] [4187.2.1.1] 4187.2.1.2 4187.2.1.3","-","-","17","40","43","0.93","18.13","0.900","0.881","Yes"
"3oi8A","Q9K0P8","156","1.99","282.1.1.1 [6087.1.1.1]","-","3.10.580.10 3.90.1280.20","43","21","37","1.76","20.81","0.773","0.782","Yes"
